comment_id,comment_text,sentiment,stance,topic,source,project_name,date_submitted,provenance_url
CMT33554,The proposal's timeline is unrealistic; request an extended public consultation period for thorough review.,Negative,Neutral,Governance,Manthan_compilation,Mining Lease Proposal,29-05-2024,https://example.org/Manthan_compilation/Mining_Lease_Proposal/33554
CMT09428,"The proposed site is too close to residential areas and risks public health due to air and noise pollution. Additionally, Please provide a clear plan for wastewater treatment and monitoring before approving this project.",Negative,Oppose,Tribal Rights,NGO_submission,Irrigation Canal Project,23-09-2023,https://example.org/NGO_submission/Irrigation_Canal_Project/9428
CMT00200,I strongly oppose the project as it will displace local farmers and harm traditional livelihoods in Odisha.,Negative,Oppose,Waste Management,MoEFCC_attachment,Waste-to-Energy Plant,19-07-2025,https://example.org/MoEFCC_attachment/Waste-to-Energy_Plant/200
CMT12448,The proposal's timeline is unrealistic; request an extended public consultation period for thorough review.,Negative,Oppose,Agriculture,MoEFCC_attachment,Hydropower Dam Project,15-04-2025,https://example.org/MoEFCC_attachment/Hydropower_Dam_Project/12448
CMT39490,No proper groundwater recharge study has been provided; this could worsen water scarcity locally.,Neutral,Conditional Support,Livelihood,MyGov_discussion,Industrial Park Phase II,20-08-2023,https://example.org/MyGov_discussion/Industrial_Park_Phase_II/39490
CMT42725,"I appreciate the focus on sustainability but seek stronger monitoring, independent audits, and public disclosure.",Positive,Support,Renewable Energy,NGO_submission,Hydropower Dam Project,03-12-2022,https://example.org/NGO_submission/Hydropower_Dam_Project/42725
CMT10823,The proposed site is too close to residential areas and risks public health due to air and noise pollution.  yeh hamare liye zaroori hai.,Negative,Oppose,Tribal Rights,MoEFCC_attachment,Riverfront Development Project,11-05-2025,https://example.org/MoEFCC_attachment/Riverfront_Development_Project/10823
CMT49499,This initiative is a welcome step towards renewable energy; please ensure adequate funding and local training programs.,Positive,Conditional Support,Waste Management,MoEFCC_attachment,Mining Lease Proposal,10-12-2023,https://example.org/MoEFCC_attachment/Mining_Lease_Proposal/49499
CMT04145,The compensation offered to small shopkeepers is inadequate — revise the packages to reflect market values.,Negative,Suggestion Only,Infrastructure,NGO_submission,Thermal Power Expansion,06-09-2023,https://example.org/NGO_submission/Thermal_Power_Expansion/4145
CMT36959,I strongly oppose the project as it will displace local farmers and harm traditional livelihoods in Bihar.,Negative,Suggestion Only,Governance,NGO_submission,Irrigation Canal Project,11-04-2024,https://example.org/NGO_submission/Irrigation_Canal_Project/36959
